Brand,Model,Battery_Life_Minutes,Charging_Time_Hours,Dustbin_Capacity_ml,Suction_Power_Pa,Noise_Level_dB,WiFi_Connectivity,App_Control,Voice_Control,Mapping_Technology,Obstacle_Avoidance,HEPA_Filter,Auto_Dock,Runtime_Adjustment,Carpet_Boost,Number_of_Sensors,Weight_kg,Height_cm,Smart_Scheduling,Multi_Floor_Mapping,Mop_Function,Self_Emptying,Price_USD
Xiaomi,Xiaomi R29 Ultra,127,5.9,686,2432,69,Yes,Yes,Yes,Lidar+Camera,No,No,Yes,No,No,17,5.5,7.0,Yes,Yes,No,Yes,437
Roborock,Roborock S8 Ultra,160,3.2,635,2458,64,Yes,Yes,Yes,Lidar,Yes,Yes,No,Yes,No,16,3.0,8.9,Yes,Yes,No,Yes,965
Roborock,Roborock S41 Pro,134,6.0,530,4948,68,Yes,Yes,Yes,Camera,Yes,Yes,Yes,No,Yes,8,4.3,7.7,Yes,Yes,No,Yes,253
Eufy,Eufy V18,169,5.8,651,4488,69,No,No,No,Lidar+Camera,No,No,Yes,Yes,No,16,3.4,7.0,No,No,No,Yes,788
Samsung,Samsung S37 Max,118,5.9,449,2167,65,Yes,Yes,No,Lidar,Yes,No,Yes,Yes,Yes,9,3.5,10.4,Yes,Yes,No,Yes,766
LG,LG R43 Ultra,96,2.7,445,4293,65,Yes,No,No,Lidar+Camera,Yes,Yes,No,No,No,13,4.2,9.0,Yes,Yes,No,No,757
LG,LG R16 Ultra,171,5.8,393,2683,65,Yes,No,No,Infrared,Yes,No,Yes,Yes,No,18,3.3,8.0,No,No,No,No,916
Ecovacs,Ecovacs V38 Ultra,92,4.9,465,2051,65,Yes,Yes,Yes,Camera,No,No,Yes,No,Yes,20,3.5,9.0,Yes,No,Yes,No,311
LG,LG R12 Ultra,85,3.0,570,2397,56,Yes,No,Yes,Lidar,No,No,No,No,Yes,10,4.0,9.0,Yes,Yes,No,Yes,863
Proscenic,Proscenic S46 Pro,200,4.5,350,4454,61,No,No,No,Lidar+Camera,Yes,No,Yes,Yes,Yes,7,3.6,8.0,Yes,Yes,No,Yes,948
